nm,nd,time_blocking,time_nonblocking
2,5000,0.3759025555555555,0.0877348111111111
2,10000,0.3745754444444444,0.09433156666666667
2,20000,0.37558077777777776,0.09720776666666668
5,5000,0.3457552222222222,0.20977711111111114
5,10000,0.3405572222222222,0.21637855555555555
5,20000,0.3448061111111111,0.2262372222222222
10,5000,0.41657444444444447,0.4106056666666667
10,10000,0.42046344444444445,0.4159461111111111
10,20000,0.4214657777777778,0.42666544444444443
20,5000,0.8198242222222222,0.8103832222222221
20,10000,0.8216476666666668,0.8137976666666666
20,20000,0.8214622222222221,0.821775
